	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2003	AA.VV.	Fisica A	Fisica		13-dic-2003
2003	AA.VV.	Fisica B	Fisica		13-dic-2003
2003	AA.VV.	Fisica C	Fisica		13-dic-2003
2003	Cacitti Remo, Lepre Marco, Martini Sergio e vari	La Carnia di Antonelli. Ideologia e realtà.	Fotografia		16-dic-2026
2003	Quaglia Manuela	Maridasi ir in Cjargne			16-dic-2026
2003	Zanier Leonardo	Libers ... di scugni lâ			16-dic-2026
2003	Calvino Italo	Il cavaliere inesistente			18-dic-2003
2003	Buzzati Dino	Bàrnabo delle montagne			18-dic-2003
2003	Calvino Italo	Il visconte dimezzato			18-dic-2003
2003	Neihardt John G.	Alce nero parla			18-dic-2003
2003	Hawthorne Nathaniel 	La lettera scarlatta			18-dic-2003
2003	Blixen Karen	Racconti d'inverno			18-dic-2003
2003	Stevenson Robert L.	Lo strano caso del dottor Jekyll e del signor Hyde			18-dic-2003
2003	Sciascia Leonardo	Il giorno della civetta			18-dic-2003
2003	Calvino Italo	Il castello dei destini incrociati			18-dic-2003
2003	Tabucchi Antonio	Il filo dell'orizzonte			18-dic-2003
2003	De Carlo Andrea	Treno di panna			18-dic-2003
2003	Wilde Oscar	Il ritratto di Dorian Gray			18-dic-2003
2003	Buzzati Dino	La boutique del mistero			18-dic-2003
2003	Calvino Italo	Se una notte d'inverno un viaggiatore			18-dic-2003
2003	De Carlo Andrea	Due di due			18-dic-2003
2003	Calvino Italo	La nuvola di smog			18-dic-2003
2003	Blixen Karen	Sette storie gotiche			18-dic-2003
2003	Baker Nicholson	L'ammezzato			18-dic-2003
2003	Goethe Johann W.	Le affinità elettive			18-dic-2003
2003	Huxley Aldous	Il mondo nuovo			18-dic-2003
2003	Bulgakov Mikhail 	Il maestro e Margherita			18-dic-2003
2003	Pirandello Luigi	Sei personaggi in cerca d'autore			18-dic-2003
2003	Lessing Doris	Racconti africani			18-dic-2003
2003	Bulgakov Mikhail 	Racconti			18-dic-2003
2003	Pirandello Luigi	Quaderni di Serafino Gubbio operatore			18-dic-2003
2003	De Carlo Andrea	Macno			18-dic-2003
2003	Pratolini Vasco	Cronache di poveri amanti			18-dic-2003
2003	Calvino Italo	Sotto il sole giaguaro			18-dic-2003
2003	Metter Izrail 	Il quinto angolo			18-dic-2003
2003	Lewis Roy 	Il più grande uomo scimmia del Pleistocene			18-dic-2003
2003	Woolf Virginia	Gita al faro			18-dic-2003
2003	Böll, Heinrich	Opinioni di un clown			18-dic-2003
2003	Calvino Italo	Ti con zero			18-dic-2003
2003	Ginzburg Natalia	La città e la casa			18-dic-2003
2003	Buzzati Dino	Un amore			18-dic-2003
2003	Calvino Italo	La speculazione edilizia 			18-dic-2003
2003	Greene Graham 	Una pistola in vendita			18-dic-2003
2003	Dürrenmatt Friedrich 	Greco cerca greca			18-dic-2003
2003	Celati Gianni	Quattro novelle sulle apparenze			18-dic-2003
2003	Calvino Italo	Palomar			18-dic-2003
2003	De Carlo Andrea	Uccelli da gabbia e da voliera			18-dic-2003
2003	Schnitzler Arthur 	La signorina Else			18-dic-2003
2003	Gadda Carlo Emilio	I racconti			19-dic-2003
2003	Adorno F., Gregory T., Verra V.	Storia della Filosofia	Filosofia		22-dic-2003
2004	Capitani Umberto	Scienza e pratica nella cultura latina			9-gen-2004
2004	Fior Gjso	La mê Cjargna			02/02/2004
2004	Cimitan Letizia 	Repertorio della narrativa di tradizione orale della Carnia			02/02/2004
2004	Fedro	Le favole			04/02/2004
2004	Comprensorio montano Carnia	Quaderni di cultura carnica			05/02/2004
2004	Cacitti Remo, Lepre Marco, Martini Sergio e vari	La Carnia di Antonelli. Ideologia e realtà.			13/02/2004
2004	Benedetti Alessandro	Historia corporis sive anatomice			13/02/2004
2004	Baliani Giovanni B.	De motu naturali gravium solidorum et liquidorum			13/02/2004
2004	Bellone Enrico	Galileo Galilei. Il saggiatore.			13/02/2004
2004	Levi Primo	Se questo è un uomo			21/02/2004
2004	Galilei Galileo	Opere			27/02/2004
2004	Pasquinelli Angelo	I presocratici			03/03/2004
2004	Tacitus Publius C.	La Germania			03/03/2004
2004	Ariès Philippe, Duby Georges 	La vita privata			01/04/2004
2004	Quaresima Leonardo	Riefenstahl			02/04/2004
2004	Descartes René	Opere filosofiche, vol.1			15/04/2004
2004	Banino Franco	Geometria per fisici			17/04/2004
2004	AA.VV.	Informatica e formazioni			17/04/2004
2004	Chomsky Noam	Riflessioni sul linguaggio			17/04/2004
2004	De Palma Armando (a cura di)	Linguaggio e sistemi formali			17/04/2004
2004	Nivette Jos	La grammatica generativa: introduzione a Chomsky			20/04/2004
2004	Bulgakov Mikhail 	Il maestro e Margherita			29/04/2004
2004	Buzzati Dino	Poema a fumetti			29/04/2004
2004	Huxley Aldous	Il mondo nuovo			29/04/2004
2004	Shakespeare William	Teatro, vol.3			03/05/2004
2004	Copi Irving M., Cohen Carl	Introduzione alla logica			06/05/2004
